id,time,likes,comments,reposts,views,text,ctr,url,year,month,day,tags
201176,1546080450,120,3,14,28044,"Новый увлекательный литературный проект! Среди героев — Борис Поплавский, Гайто Газданов, Борис Вильде и другие авторы, о которых вы могли не знать. 

https://knife.media/writers-generation/",0.43,https://knife.media/writers-generation/,2018,2018-12,2018-12-29,"['литература', 'история', 'находка', 'россия', 'сайт']"
201147,1546021920,321,4,26,41352,"Злобный картофель, какашки с глазами и песенка бегемота «Я твой дружок!»: зачем детям подсовывают глупости и гадости?

https://knife.media/child-content/",0.78,https://knife.media/child-content/,2018,2018-12,2018-12-28,"['детство', 'психология']"
201141,1546018320,91,4,6,30303,"Надоел оливье? Подавайте свиную голову в сахаре, мальков угрей и рыбу в щелочи к вашему неконформному столу!

https://knife.media/weird-festive-foods/",0.3,https://knife.media/weird-festive-foods/,2018,2018-12,2018-12-28,"['еда', 'мир']"
201094,1546003444,78,2,3,24880,"Как отличить зимние традиции разных народов от безумной выдумки? Никак, но всё равно пройдите тест.

https://knife.media/winter-holidays-quiz/",0.31,https://knife.media/winter-holidays-quiz/,2018,2018-12,2018-12-28,['тесты']
201081,1545998646,106,6,5,23745,"Партия длилась неделю и закончилась победой крестиков. 

https://knife.media/tic-tac-toe/",0.45,https://knife.media/tic-tac-toe/,2018,2018-12,2018-12-28,"['наука', 'биология', 'исследование', 'медицина', 'сша']"
201058,1545992599,222,17,11,28553,"Фильм объединит романы «Идиот» и «Преступление и наказание». 

https://knife.media/kusturica-dostoevsky/",0.78,https://knife.media/kusturica-dostoevsky/,2018,2018-12,2018-12-28,"['кино', 'литература', 'мир', 'россия']"
200998,1545985726,458,57,15,35864,"В России начнут защищать права животных. Закон пытались принять с 2010 года.

https://knife.media/animal-protection-law/",1.28,https://knife.media/animal-protection-law/,2018,2018-12,2018-12-28,"['законы', 'животные', 'россия']"
200966,1545947412,95,20,6,27126,"Привлекать к уголовной ответственности за лайки и репосты будут только при повторном нарушении. 

https://knife.media/putin-repost-law/",0.35,https://knife.media/putin-repost-law/,2018,2018-12,2018-12-27,"['россия', 'законы', 'интернет', 'соцсети']"
200935,1545939564,105,6,7,25445,"#MeToo Перед тем как воевать в комментариях, прочтите наш текст: подвезли вам самые точные данные и мнения по теме.

https://knife.media/metoo-2018/",0.41,https://knife.media/metoo-2018/,2018,2018-12,2018-12-27,"['общество', 'гендер', 'насилие', 'секс', 'соцсети', 'сша']"
200921,1545934330,201,10,5,25365,"Парламент Израиля одобрил законопроект об экспорте марихуаны и объявил о самороспуске. 
 
https://knife.media/israel-cannabis-export/",0.79,https://knife.media/israel-cannabis-export/,2018,2018-12,2018-12-27,"['наркотики', 'законы', 'мир', 'общество']"
